Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
PC gaming / PC only putih;Rp3.750.000;Stock Gallery;Jakarta Selatan;N/A;N/A
VIEWSONIC VX3219-PC-MHD 32 inch FHD VA 240Hz 1ms HOME OFFICE GAMING CURVED MONITOR;Rp3.150.000;SOS SPORT ONLINE SHOP;Jakarta Pusat;5.0;11 terjual
1 Set PC Gaming Dan Editing;Rp5.000.000;R-Omota;Jakarta Timur;N/A;N/A
PC Gaming Komputer ex Warnet;Rp1.999.999;iMba Thrift;Tangerang Selatan;N/A;N/A
PC GAMING PRELOVED KONDISI BAGUS;Rp1.400.000;Loligames;Kab. Bandung Barat;N/A;N/A
PC GAMING INTEL CORE I3 10100F Gen 10 TERBARU;Rp2.850.000;POINT99 COMPUTER;Bandung;4.9;100+ terjual
Mini PC Gaming AMD Ryzen 9 8945HS GMKTEC K11 32GB RAM DDR5 1TB SSD NVME - WINDOWS 11 PRO;Rp10.199.000;GMKtec ID;Jakarta Utara;4.3;11 terjual
PC Gaming 2025 like new belum sebulan;Rp17.000.000;designku;Bandung;N/A;N/A
pc gaming siap pakai;Rp5.500.000;branded88;Surabaya;N/A;N/A
PC GAMING FULLSET PINK YOUTUBER CEWEK;Rp10.444.000;lapakwull;Surabaya;5.0;1 terjual
pc gaming ryzen 5 murah;Rp4.500.000;aril comp;Malang;N/A;N/A
set komputer PC i7 870 Gaming Multimedia;Rp3.400.000;Berkah Bersama Computer;Tasikmalaya;5.0;2 terjual
