Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
PC Rakitan Gaming i5 3470 (GTX 1050Ti 4GB ) Cocok Editing Render;Rp1.325.000;GT Computer;Bandung;4.9;100+ terjual
PC GAMING STREAMING INTEL i5 | RYZEN 5 | RTX GTX RX ARC | SSD nvme 512gb | ram 16gb;Rp8.525.000;eargazm PC;Jakarta Barat;5.0;50+ terjual
PC GAMING i3 / GTX 1660SUPER / RAM 16GB / DLL;Rp4.150.000;SkidRow;Jakarta Selatan;N/A;N/A
CPU Rakitan Intel Core i5 3470 Up 3.6Ghz PC Komputer Gaming Desain - GTX 750TI;Rp2.675.200;JNC KOMPUTER;Jakarta Pusat;4.9;100+ terjual
PC Gaming Nvidia GTX 750ti;Rp1.500.000;Ezdt Gaming;Bandung;N/A;N/A
pc gaming i3 / gtx 1050ti  4gb / ram 8gb / ssd 128+ hdd 500 - dll;Rp2.300.000;SkidRow;Jakarta Selatan;N/A;N/A
PC Gaming SFX Mini ITX ROG Strix 1151 i5-8400 GTX 1660Ti OC;Rp8.500.000;Preloved by Salman;Tangerang Selatan;N/A;N/A
VGA PC Nvidia ASUS TUF Gaming GTX 1650 4GB | GTX1650 4 GB OC GDDR6;Rp1.850.000;YOUR FUTURE COMP by TOKOPEDIA;Jakarta Selatan;5.0;3 terjual
"PC Gaming Lengkap Intel Core i7 | GTX 750TI 4GB | 8GB | LED 24"" - Rakitan Gaming PC 5";Rp3.192.000;NENET COMPUTER;Bandung;4.9;100+ terjual
PC GAMING Core i5 4590 I 16GB I GTX 1650 4GB I SSD I GAMING & EDITING;Rp3.525.000;BCM Computer_NEW;Bandung;5.0;2 terjual
PC Gaming Rakitan I5 9400f + gtx 1660 super;Rp5.400.000;BrankasDino;Bandung;N/A;N/A
PC Gaming Fullset AMD Ryzen 5 4500 GTX 1650 4GB HDD SSD 120GB Ram 8GB;Rp4.180.000;Central Jaya Computer;Bandung;5.0;3 terjual
PC GAMING Ryzen 9 5900X | GTX 1650 | 16GB | NVME | Streaming;Rp13.200.000;BCM Computer_NEW;Bandung;5.0;27 terjual
PC GAMING | Core i5-10400F | GTX 1660 SUPER 6GB | 16GB RAM RGB | SSD;Rp8.799.000;Carant;Jakarta Utara;5.0;3 terjual
VGA ASUS TUF GAMING GTX 1650 4GB OC GDDR6 SUPER PC Gaming;Rp1.950.000;YOUR FUTURE COMP by TOKOPEDIA;Jakarta Selatan;N/A;1 terjual
KOMPUTER/PC RAKITAN GAMING/VIDEO i5-12400F ASUS RTX 3050/4060 / GTX 1650;Rp7.000.000;Gammacomputerpku;Pekanbaru;5.0;17 terjual
Pc Gaming Design | Core i7 3770 | GTX 1050ti | Ssd | Ram 8Gb;Rp5.499.900;Rakit PC 212;Tangerang;N/A;N/A
pc gaming i7 vga gtx 980 ram 16gb;Rp5.000.001;Emongg;Jakarta Pusat;N/A;N/A
Pc Gaming Fullset Pc Cpu Gaming Rakitan Ful Set I7 Vga Gtx Ram 16Gb;Rp7.492.000;nensisovia;Jakarta Selatan;N/A;N/A
PC GAMING intel i5 9400F GTX 1650 Super SSD 128GB HDD 500G;Rp5.650.000;allmueza;Tangerang;5.0;1 terjual
