Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
PC GAMING INTEL CORE I3 10100F Gen 10 TERBARU;Rp2.850.000;POINT99 COMPUTER;Bandung;4.9;100+ terjual
PC GAMING STREAMING INTEL i5 | RYZEN 5 | RTX GTX RX ARC | SSD nvme 512gb | ram 16gb;Rp8.525.000;eargazm PC;Jakarta Barat;5.0;50+ terjual
KOMPUTER PC GAMING SET INTEL i5 MURAH;Rp4.250.000;BuyConsign;Surabaya;N/A;N/A
PC Rakitan Intel Core i3 10105F Gen 10 ( RTX 3050 6GB ) Siap Gaming editing & Rendering;Rp3.435.000;GT Computer;Bandung;4.8;40+ terjual
PC GAMING EDITING INTEL CORE I5 GEN6;Rp2.999.000;Sonic Computer Depok;Depok;N/A;1 terjual
PC Gaming intel core i5 gen 6 ram 16gb pc editing komputer editing;Rp3.400.000;Katokokula;Kab. Tangerang;N/A;N/A
CPU Rakitan Intel Core i5 3470 Up 3.6Ghz PC Komputer Gaming Desain - GTX 750TI  GTX 1050  RX 580  ARC A380;Rp2.675.200;JNC KOMPUTER;Jakarta Pusat;4.9;100+ terjual
Paket CPU Gaming PC Gamer / Nvidia AMD Ati Radeon intel core i3 i5;Rp1.699.000;EXCO COMPUTER STORE;Kab. Wonosobo;5.0;100+ terjual
Pc Gaming intel core i5 gen 12 RTX 3070TI  Ram 16GB Ssd 1 Tb & 256GB  Size M-ATX (High End PC Gaming);Rp15.000.000;Hype Toy;Jakarta Utara;N/A;N/A
"PC Gaming Lengkap Intel Core i7 | GTX 750TI 4GB | 8GB | LED 24"" - Rakitan Gaming PC 5";Rp3.192.000;NENET COMPUTER;Bandung;4.9;100+ terjual
PC Intel Core i9-10900K | 16GB | SSD 1TB | RTX 3070 Gaming Rendering;Rp18.750.000;CINOS COMPUTER;Bandung;N/A;N/A
PC GAMING INTEL i5 Gen 2 VGA NVIDIA GT 1030 DDR5 MURMER;Rp3.800.000;allmueza;Tangerang;5.0;1 terjual
PC GAMING INTEL CORE I3 6100 RAM 8GB VGA RX 580 8GB DDR5 RGB;Rp3.095.000;R21CompSemarang;Semarang;5.0;2 terjual
PC gaming Intel 10105f Libas game apa aja!;Rp5.600.000;SahabatElectronic7117;Tangerang Selatan;N/A;N/A
PC GAMING INTEL i3 9100f RAM 16GB GTX 1650 SUPER 4GB NVME 128GB;Rp5.200.000;allmueza;Tangerang;5.0;2 terjual
Gaming PC Intel I5 12400F 8GB RAM DDR5 RX 550 4GB GDDR5.;Rp6.655.000;MJ Teknologi Semarang;Semarang;N/A;N/A
PC Rakitan Intel Core i3 12100f | RTX 3050 6GB | RAM 16GB | PSU 550W 80+ Bronze PC Gaming Murah;Rp7.099.000;FroPC;Jakarta Pusat;N/A;N/A
PC Gaming Intel Core i3 Gen 10 GTX (new)1650 4GB NVME SSD 512GB H410M S2H V2 Gigabyte DDR4 16GB Fortnite Valorant;Rp4.600.000;MS Computer;Jakarta Barat;N/A;N/A
PC Rakitan Intel Core i3 13100F GEN 13 ( RTX 3050 8GB DDR6 ) Siap Gaming editing & Rendering;Rp4.355.000;GT Computer;Bandung;5.0;3 terjual
