Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
Paket CPU Gaming PC Gamer / Nvidia AMD Ati Radeon intel core i3 i5;Rp1.699.000;EXCO COMPUTER STORE;Kab. Wonosobo;5.0;100+ terjual
PC Rakitan Gaming Core i5 8400 RAM 16GB SSD 256GB VGA Radeon R7 4GB;Rp2.900.000;Central Computer Asia;Jakarta Pusat;N/A;N/A
pc gaming GAMING - RYZEN 5 5600G  Radeon Vega;Rp3.395.000;Frontcomp;Bandung;5.0;2 terjual
PC Rakitan Gaming Design AMD Ryzen 3 3200g VGA Radeon Series RAM 32gb SSD 256gb Wi Fi;Rp2.664.000;AL AZIZ Computer;Bandung;N/A;N/A
PC Gaming Design AMD Ryzen 5 4600G VGA Radeon Graphics RAM 32gb SSD 256gb Wi Fi;Rp3.290.000;AL AZIZ Computer;Bandung;5.0;1 terjual
PC GAMING INTEL CORE I5 GEN 6 - RADEON RX 580 2048SP - 16GB RAM;Rp5.000.000;CowBoys Store;Tangerang;5.0;2 terjual
PC Gaming Fullset AMD Ryzen 7 5700G VGA Radeon Series RAM 32gb SSD 256gb Monitor 19 Inci WiFi Murah Bergaransi;Rp5.652.000;AL AZIZ Computer;Bandung;5.0;3 terjual
PC Gaming Intel Core i7 3770 (Radeon RX 580 8GB )Siap Gaming Rendering;Rp2.450.000;win-group;Jakarta Selatan;5.0;2 terjual
PC Gaming AMD Ryzen 7 8700F I Radeon RX 9060 XT 16GB I DDR5 32GB I NVME 1TB - Editing - Streaming;Rp11.000.000;BCM Computer_NEW;Bandung;5.0;9 terjual
IMBA AMD PC | Ryzen 7 8700G  | Radeon 780M | 32GB | Rakitan Gaming PC;Rp11.900.000;IMBA PC;Jakarta Utara;5.0;2 terjual
PC Gaming ToniX Ryzen 5 5600G |16GB | 512GB | RX Radeon VEGA 7;Rp6.200.000;ToniX Computer;Jakarta Pusat;5.0;2 terjual
MinisForum HX100G HX99G Gamer Mini PC AMD Ryzen 7 7840HS 9 6900HX Radeon RX 6650M 6600M Windows 11 DDR5 2xUSB4 Gaming Computer;Rp42.413.200;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
PC Mini ITX intel core i5 12400F - DDR4 32GB - NVME 1TB - VGA AMD RADEON RX 6600 8GB | GAMING EDITING;Rp15.300.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
PC Build AMD Ryzen 7 7800X3D - B850i - DDR5 32GB - SSD 2TB GEN4 | AMD RADEON RX 6600 8GB | GAMING KOMPUTER MINI;Rp25.255.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
PC BUILD AMD RYZEN 7 9800X3D | 32GB DDR5 | SSD 1TB GEN4 | VGA AMD RADEON RX 9070 XT 16GB | GAMING;Rp34.457.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
PC BUILD GAMING RENDER EDITING | AMD RYZEN 7 9800X3D | 32GB DDR5 | SSD 2TB NVME GEN4 | AMD RADEON RX 9070 XT 16GB;Rp28.200.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
PC Build AMD Ryzen 7 9800X3D - DDR5 32GB - VGA Radeon RX 7900 GRE 16GB - Gaming Editing Render;Rp31.055.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
PC GAMING MINI ITX AMD RYZEN 5 7600X | 32GB DDR5 | SSD 1TB GEN4 | VGA AMD RADEON RX 9060 XT 16GB | SIAP PAKAI !!!;Rp19.690.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
Pc rakitan Gaming Ryzen 9 5900x + Vga Radeon RX 6700 XT 12GB;Rp40.400.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
