Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
ASUS ROG NUC 760 NUC14SRKU7 - Ultra 7 155H/16GB/512GB SSD/RTX 4060/Win11 Home - Gaming Mini PC;Rp28.399.000;JnJ Online;Jakarta Pusat;5.0;5 terjual
PC GAMING STREAMING INTEL i5 | RYZEN 5 | RTX GTX RX ARC | SSD nvme 512gb | ram 16gb;Rp8.525.000;eargazm PC;Jakarta Barat;5.0;50+ terjual
PC Rakitan Intel Core i3 10105F Gen 10 ( RTX 3050 6GB ) Siap Gaming editing & Rendering;Rp3.435.000;GT Computer;Bandung;4.8;40+ terjual
Gaming PC i5-12400 RTX 4060 RAM16GB Corsair RM650 650W;Rp10.700.000;toserba_soerabaja;Surabaya;N/A;N/A
PC Mini ITX RTX Gaming Editing;Rp6.850.000;Toko Al-'Amiin;Depok;N/A;N/A
PC GAMING I7  / RTX 3060TI / RAM 16 GB / SSD 256 + 1TB - MURAH;Rp8.500.000;SkidRow;Jakarta Selatan;N/A;N/A
PC GAMING i7 11700F I RTX 3070Ti 8GB I SSD NVME 512GB I HDD 2TB;Rp10.350.000;POINT99 COMPUTER;Bandung;5.0;1 terjual
pc gaming design high ryzen rtx;Rp12.500.000;Inaksesoris;Jakarta Barat;N/A;N/A
Pc Gaming intel core i5 gen 12 RTX 3070TI  Ram 16GB Ssd 1 Tb & 256GB  Size M-ATX (High End PC Gaming);Rp15.000.000;Hype Toy;Jakarta Utara;N/A;N/A
PC Gaming RTX 3070 | Ryzen 5 3600 | 16 GB | SSD NVME 512gb;Rp9.000.000;Toko Snoopy;Tangerang;N/A;N/A
PC Gaming Core i5 12400F I RTX 3050 8GB I 16GB I Editing - Streaming;Rp8.250.000;BCM Computer_NEW;Bandung;5.0;11 terjual
PC Gaming i7 12700K | RTX 3050-RTX 3060 |16GB DDR4 | DESIGN - EDITING;Rp12.350.000;BCM Computer_NEW;Bandung;5.0;9 terjual
PC Gaming Core i9 14900 RAM 32GB NVME 1TB HDD 2TB VGA RTX 3050 8GB DDR6;Rp18.000.000;Central Computer Asia;Jakarta Pusat;N/A;N/A
Pc Gaming Core i5 10400F Ram 16 Gb | Ssd 256 Gb | 6 Gb RTX 3050  Pc Editing;Rp5.995.000;Abdee computer_NEW;Bandung;4.8;20 terjual
PC Intel Core i9-10900K | 16GB | SSD 1TB | RTX 3070 Gaming Rendering;Rp18.750.000;CINOS COMPUTER;Bandung;N/A;N/A
Pc Gaming Desing i5 12400f | Rtx 3060 12gb | 16gb | 512gb nvme |500gbb;Rp9.950.000;Rakit PC 212;Tangerang;N/A;N/A
PC Rakitan Gaming Editing AMD Ryzen 5 5500 RTX 4060 Water Cooler;Rp11.475.000;FroPC;Jakarta Pusat;N/A;N/A
PC GAMING I3 14100F FEAT RTX 3050 DDR6 ALL NEW ISA TUKAR TAMBAH;Rp7.815.000;G Komputer Semarang;Semarang;N/A;N/A
"PC LENOVO Legion T5 26IRB8 i7-14700KF 32GB 1TB SSD RTX 4060 8GB Windows 11 Home OHS 2021 + Monitor 27"" Y27Q-20 90UU00KRID KRID Gaming Desktop";Rp39.799.900;Onyx Technology;Jakarta Pusat;N/A;N/A
