Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
PC Komputer Rakitan AMD Ryzen 5 4600G 3.7Ghz For Gaming|Desain|Office;Rp4.054.050;JNC KOMPUTER;Jakarta Pusat;5.0;30+ terjual
PC GAMING STREAMING INTEL i5 | RYZEN 5 | RTX GTX RX ARC | SSD nvme 512gb | ram 16gb;Rp8.525.000;eargazm PC;Jakarta Barat;5.0;50+ terjual
Mini PC Gaming AMD Ryzen 9 8945HS GMKTEC K11 32GB RAM DDR5 1TB SSD NVME - WINDOWS 11 PRO;Rp10.199.000;GMKtec ID;Jakarta Utara;4.3;11 terjual
pc gaming ryzen 5 murah;Rp4.500.000;aril comp;Malang;N/A;N/A
PC Gaming HP Pro A G2 Minitower AMD Ryzen 5 8GB SSD 256GB Amd R7 2GB;Rp3.500.000;LESTARI KOMPUTER;Jakarta Pusat;N/A;N/A
PC Komputer Rakitan AMD Ryzen 5 5600G 3.9Ghz For Gaming|Desain|Office;Rp6.060.000;JNC KOMPUTER;Jakarta Pusat;4.9;100+ terjual
AMD Ryzen Gaming PC for Profesional;Rp10.000.000;Digiminds;Kab. Bekasi;N/A;N/A
PC Gaming White Ryzen 5;Rp12.990.000;Komputer_2nd;Depok;N/A;N/A
pc gaming ryzen full set;Rp4.500.000;momurah;Depok;N/A;N/A
PC Rakitan Fullset Ryzen 5 8600G RAM 32GB SSD 512GB For Gaming|Office;Rp7.924.900;JNC KOMPUTER;Jakarta Pusat;5.0;6 terjual
PC Gaming Rakitan AMD Ryzen 5 5500 | 16GB | SSD 128 | SIAP GAME BERAT;Rp5.499.000;POINT99 COMPUTER;Bandung;5.0;4 terjual
pc gaming amd ryzen 5;Rp7.500.000;Solusi Retail Store;Tangerang Selatan;N/A;N/A
RAKITAN PC GAMING RTX 4060 RYZEN 7 5700X B550M STEEL LEGEND SSD 3TB;Rp25.500.000;House of computer;Banjarmasin;N/A;N/A
Pc gaming ryzen 5 Rtx 3060 12gb;Rp7.300.000;peacegamer_id;Kab. Jepara;N/A;N/A
ASUS TUF ZAKU GAMING PC - AMD RYZEN 7 5700G RAM 16GB SSD 128GB;Rp11.500.000;Frontcomp;Bandung;N/A;N/A
Rakitan PC Gaming Ryzen 5 / Ram 16GB RGB / SSD NVME 256GB 512GB;Rp5.300.000;WellComp_NEW;Palembang;N/A;N/A
PC Gaming AMD Ryzen 5 9600X/RTX 5070 12GB/NVME 1TB/DDR5 32GB - Gaming-Editing-Streaming;Rp15.900.000;GT Computer;Bandung;5.0;2 terjual
PC GAMING RYZEN 5 5600G 16GB CUSTOM PINK;Rp4.895.000;Frontcomp;Bandung;5.0;3 terjual
PC ASUS TUF GAMING AMD RYZEN 7 5600G PC GAMING ASUS TUF RAKITAN;Rp5.854.800;kk store Bandung;Bandung;N/A;N/A
PC Gaming Fullset AMD Ryzen 7 5700G VGA Radeon Series RAM 32gb SSD 256gb Monitor 19 Inci WiFi Murah Bergaransi;Rp5.652.000;AL AZIZ Computer;Bandung;5.0;3 terjual
