Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
1 Set PC Gaming Dan Editing;Rp5.000.000;R-Omota;Jakarta Timur;N/A;N/A
Komputer PC All-in-One Baru Layar Lengkung Gaming 24 Inci Core i3/i5/i7 RAM 16GB SSD 1TB Komputer Set Lengkap untuk Gaming dan Kantor dengan Bonus Keyboard dan Mouse;Rp4.883.700;ASVS Computer;Jakarta Pusat;5.0;1 terjual
KOMPUTER PC GAMING SET INTEL i5 MURAH;Rp4.250.000;BuyConsign;Surabaya;N/A;N/A
set komputer PC i7 870 Gaming Multimedia;Rp3.400.000;Berkah Bersama Computer;Tasikmalaya;5.0;2 terjual
pc gaming ryzen full set;Rp4.500.000;momurah;Depok;N/A;N/A
Jual PC Gaming Sultan High End Full Set Rata Kanan;Rp12.000.000;Apex Gaming PC;Tangerang;N/A;N/A
PC Gaming full set ryzen + 2 monitor;Rp8.000.000;Pakis Pro Online Shop;Bogor;N/A;N/A
PC GAMING FULL SET RTX 2060;Rp5.000.000;Cinshop;Jakarta Barat;N/A;N/A
pc gaming full set + kursi gaming;Rp15.000.000;Bagongfk;Palembang;N/A;N/A
PC GAMING FULL SET RAM 8GB SSD240GB (VALORAND+GTA 5 DLL LIBASS);Rp5.000.000;IKHSAN ANGGARA;Tasikmalaya;N/A;N/A
Pc Gaming AMD komputer desktop set;Rp1.500.000;Findy Online Store;Depok;N/A;N/A
pc gaming editing full set RYZEN 5 5600G;Rp4.300.000;MARKET TIYO;Palembang;N/A;N/A
PC GAMING FULL SET MURAH All In Only;Rp4.200.000;MisbachStore;Tangerang Selatan;N/A;N/A
PC GAMING I3 10105F RAM 8 GB VGA 2 GB GT 710 LED 19 IN LENGKAP 1 SET;Rp5.750.000;NThing;Jakarta Utara;N/A;N/A
PC GAMING ROG SET RGB MONITOR MOUSE FAN AMD RYZEN 5 RX 550 SSD M2;Rp7.500.000;Jeruk Shop;Jakarta Utara;N/A;N/A
Baru Komputer Full Set  PC All-in-one  Intel Prosesor Core i5 Generasi ke-8 Layar besar Full HD 24/27 Inci Pilihan RAM 8/16G SSD 1TB Untuk Rumah Bisnis Belajar Kantor  gaming desain PS dan Hiburan;Rp5.299.999;HUAV KOMPUTER;Jakarta Pusat;5.0;3 terjual
PC Gaming FULL SET - Core i5 12400F | RTX 4060 8GB | 16GB | NVMe | LED 24INCH;Rp12.846.600;NENET COMPUTER;Bandung;5.0;3 terjual
