Nama Produk,Harga,Toko,Lokasi,Rating,Terjual
"PC GAMING LIVE STREAMING i7 6700, RAM 8GB DDR4, SSD 128GB, HDD 1TB, Bekas",Rp2.200.000,GlowingCare,Jakarta Barat,N/A,N/A
PC GAMING STREAMING INTEL i5 | RYZEN 5 | RTX GTX RX ARC | SSD nvme 512gb | ram 16gb,Rp8.525.000,eargazm PC,Jakarta Barat,5.0,50+ terjual
PC Gaming Rendering Editing Streaming,Rp12.900.000,Komputer_2nd,Depok,N/A,N/A
PC untuk Gaming + Streaming,Rp7.200.000,Lawbadra Store,Kab. Tangerang,N/A,N/A
PC Gaming AMD Ryzen 7 9800X3D/RTX 5070Ti 16GB/NVME 2TB/DDR5 64GB Gaming-Editing-Streaming,Rp27.115.000,GT Computer,Bandung,5.0,1 terjual
"M7 USB/XLR Dynamic Microphone with RGB Control/Headphone jack/Mute,MIC for PC Gaming Recording Streaming **",Rp360.000,Shopping Teknik,Jakarta Timur,N/A,N/A
PC GAMING STREAMING intel i5 gen 13 | RTX 3060 Ti | ram 32gb | wifi,Rp11.990.000,eargazm PC,Jakarta Barat,5.0,8 terjual
PC Gaming AMD Ryzen 9 9900X3D/RTX 5070 12GB/NVME 1TB/DDR5 64GB Gaming-Editing-Streaming,Rp21.735.000,GT Computer,Bandung,5.0,2 terjual
PC Gaming AMD Ryzen 5 9600X/RTX 5070 12GB/NVME 1TB/DDR5 32GB - Gaming-Editing-Streaming,Rp15.900.000,GT Computer,Bandung,5.0,2 terjual
PC RAKITAN GAMING INTEL i5 11400F I GTX 1650 4GB I STREAMING NAMPOL,Rp4.725.000,IGame Store,Bandung,N/A,N/A
PC Gaming AMD Ryzen 9 9900X3D/RTX 5080 16GB/NVME 2TB/DDR5 64GB Gaming-Editing-Streaming,Rp22.400.000,BCM Computer_NEW,Bandung,N/A,N/A
PC Gaming Core i5 12400F 32GB RTX 4060 8GB NVMe /Komputer/CPU Rakitan Live Streaming/Editing/Desain,Rp6.758.000,Toko Mama Yenni,Pekanbaru,N/A,N/A
Webcam 1080P PC Camera Gaming Live Streaming Youtube Zoom Meeting OBS,Rp235.000,HENN TECH,Jakarta Utara,5.0,1 terjual
PC Gaming AMD Ryzen 5 4500 | RTX 3050 8GB | DDR4 16GB | 256GB |Cocok Gaming|Editing|Streaming,Rp4.055.000,GT Computer,Bandung,5.0,1 terjual
PC GAMING AMD Ryzen 5 5600/GTX 1650/DDR4 16GB/NVME/HDD GAME STREAMING MANTULL,Rp4.850.000,IGame Store,Bandung,N/A,N/A
PC Streaming Gaming Editing i7 gen4 GTX 1660s,Rp5.500.000,Raizo Turu Gaming,Kab. Sleman,N/A,N/A
Gaming PC Streaming AMD Ryzen 5 9600X 32GB RAM RTX 4060 8GB.,Rp17.450.000,D1V1 Store,Semarang,N/A,N/A
PC AI LEARNING EDITING GAMING RENDERING STREAMING RYZEN 7 7700 RTX 3080 Ti 12GB 3080Ti 12 GB,Rp19.700.000,HTGL Store,Kab. Sidoarjo,N/A,N/A
PC GAMING Ryzen 9 5900X | GTX 1650 | 16GB | NVME | Streaming,Rp12.450.000,POINT99 COMPUTER,Bandung,N/A,N/A
PC RAKITAN GAMING i5 7500 GEN 7 | RAM DDR4 16 GB | VGA GTX 1660 SUPER 6 GB | LED 24 INCH CURVED 100 HZ FULLSET SIAP DESAIN DAN LIVE STREAMING,Rp6.888.000,HAPPYNS MARTT,Jakarta Barat,N/A,N/A
