Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
PC Rakitan Gaming High End Intel Core i7 12700F + VGA RTX 3060 12GB;Rp13.500.000;Hexacomputer;Surabaya;5.0;1 terjual
Custom PC Rakitan PLATINUM CLASS High End Series by Dag Dag Gaming;Rp35.000.000;Dag Dag Gaming;Tangerang;5.0;1 terjual
PC RAKITAN GAMING & EDITING i7 8700 I GTX 1660Ti I HIGH END;Rp14.275.000;BCM Computer_NEW;Bandung;5.0;4 terjual
PC Rakitan Gaming Design High End CUSTOM;Rp25.000.000;LI Market;Jakarta Pusat;N/A;N/A
PC RAKITAN GAMING i7 7700 I GTX 1050Ti I HIGH END 3.6Ghz up to 4.2Ghz;Rp11.300.000;BCM Computer_NEW;Bandung;5.0;8 terjual
Sedang PROMO PC RAKITAN GAMING BY REQ i7 7700 Th7 Kebylake High end;Rp12.985.000;GAMING PC RAKITAN;Kab. Bandung;5.0;1 terjual
PC Rakitan High End Editing Workstation | Intel Core i9 14900 / 1TB NVMe SSD / NVIDIA RTX;Rp24.416.000;OneLine Game PC;Jakarta Timur;5.0;1 terjual
PC Rakitan High End | Intel Core i9 13900K / DDR5 / NVMe / GeForce RTX;Rp37.769.000;OneLine Game PC;Jakarta Timur;5.0;2 terjual
PC Rakitan High End | Intel Core i9 14900 / 1TB NVMe SSD / NVIDIA RTX;Rp30.466.000;OneLine Game PC;Jakarta Timur;5.0;5 terjual
PC Rakitan High End | AMD Ryzen 9 7900 / 1TB NVMe SSD / NVIDIA RTX;Rp26.106.000;OneLine Game PC;Jakarta Timur;5.0;1 terjual
PC GAMING RAKITAN RYZEN CUSTOM HIGH END AMD NVIDIA DESIGN EDITING RGB;Rp10.550.000;Vincent 888;Medan;5.0;3 terjual
PC GAMING RAKITAN INTEL CUSTOM HIGH END AMD NVIDIA DESIGN EDITING RGB;Rp31.316.000;Vincent 888;Medan;5.0;3 terjual
PC GAMING & DESIGN AMD RYZEN 5 8400F RAM 16GB DDR5 VGA RTX 4060TI RAKITAN HIGH END;Rp9.285.000;Big buy computer;Bekasi;N/A;N/A
Pc rakitan gaming high end i5 10400F ft RTX 2060;Rp10.000.000;prelovedbyrarenaii;Tangerang Selatan;N/A;N/A
PC Rakitan Gaming High End Rendering | Ryzen 7 7800X3D | RTX 4070 SUPER | 32GB DDR5 | NVMe 1TB;Rp29.750.000;Prawira computer;Bandung;N/A;N/A
New PC RAKITAN GAMING Intel Core I7 14700F | NVME 1TB | VGA RTX 4060 8GB FULLSET High End SERIES;Rp28.003.000;franstore03;Jakarta Timur;N/A;N/A
PC RAKITAN HIGH END GAMING INTEL 9Th I9 - 9900K FEAT RTX 2080TI STRIX;Rp70.000.000;ARIA 8800;Bandung;N/A;N/A
PC RAKITAN HIGH END DESIGN INTEL 9Th I9 - 9900K FEAT RTX 2080TI STRIX;Rp71.000.000;ARIA 8800;Bandung;N/A;N/A
PC Rakitan Gaming High End Rendering | I9 14900K | RTX 4080SUPER | 64GB DDR5 | NVMe | Aio;Rp44.750.000;Prawira computer;Bandung;N/A;N/A
PC GAMING & DESIGN INTEL CORE I5 12400F RAM 16GB VGA RTX 4060TI RAKITAN HIGH END;Rp7.755.000;Big buy computer;Bekasi;N/A;N/A
