Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
Jual PC Gaming Sultan High End Full Set Rata Kanan;Rp12.000.000;Apex Gaming PC;Tangerang;N/A;N/A
PC GAMING & KERJA HIGH END;Rp19.000.000;Vinzu shoppu;Jakarta Utara;N/A;N/A
Pc Gaming intel core i5 gen 12 RTX 3070TI  Ram 16GB Ssd 1 Tb & 256GB  Size M-ATX (High End PC Gaming);Rp15.000.000;Hype Toy;Jakarta Utara;N/A;N/A
PC Gaming Set i9 10900k high end;Rp9.500.000;clairenethelabel;Jakarta Utara;N/A;N/A
PC high end i9 13900k masih fresh;Rp18.500.000;henz_com;Kab. Sidoarjo;N/A;N/A
PC Editing & Gaming Intel Core i5 10400F/GTX 1650/High-End Mantap;Rp4.275.000;BCM Computer_NEW;Bandung;5.0;50+ terjual
PC Rakitan Gaming High End Intel Core i7 12700F + VGA RTX 3060 12GB;Rp13.500.000;Hexacomputer;Surabaya;5.0;1 terjual
PC High End Gaming/Editing - Intel Core i9 RAM 64GB SSD 2.5TB;Rp25.000.000;aimardcr;Kab. Badung;N/A;N/A
pc gaming high end murah;Rp21.000.000;alfian fachresyi;Kab. Gresik;N/A;N/A
10th Gen MINI Gaming PC Intel Core i7-10870H i9-10980HK GTX1660 6G GPU high-end gaming computer 2 * DDR4   4K DVI HDMI DP;Rp20.161.600;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
CPU | PC High End Gaming Design | Core I5 11400F - GTX 1650 4GB - 16GB;Rp10.900.000;Liemz Store;Semarang;N/A;N/A
PC Rakitan Gaming High End Ryzen 3 ASUS RX 570 Strix OC Garansi Resmi;Rp8.700.000;Clazenwarz;Bekasi;N/A;N/A
Ready PC Gaming i5 / i7 | RTX 4060/5060/5070 | 32GB DDR5 NVME | Rakitan High End Design Editing Rendering;Rp15.903.000;syawalil;Jakarta Barat;N/A;N/A
Pc gaming high end with water cooling;Rp10.000.000;NERFWORLD;Bekasi;N/A;N/A
PC RAKITAN BY MJ TECHNO HIGH END HPI 3 INTEL I7 13700KF ft. RTX 4080;Rp48.685.000;MJ Teknologi Semarang;Semarang;N/A;N/A
PC HIGH END GAMING INTEL 9Th I7 9700K FEAT RTX 2080 8GB / 32GB;Rp42.000.000;ARIA 8800;Bandung;N/A;1 terjual
PC GAMING AMD RYZEN 5 2600 3.4Ghz RAM 8GB HIGH END;Rp15.475.000;nabila-onlineshope;Kab. Bandung;N/A;N/A
KOMPUTER GAMING HIGH END i9 10900f RTX 3060 IGAME ULTRA OC 12GB VRAM PC DESIGN GRAFIS EDITOR ADMIN KANTOR MODELLING;Rp16.200.000;Double Aces Garage;Jakarta Barat;N/A;N/A
PC CPU HIGH END GAMING INTEL 9Th CORE I5 9600K FEAT RX580 8GB NITRO OC;Rp18.600.000;ARIA 8800;Bandung;N/A;N/A
;;;;;
