Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
Pc rakitan mobo psu;Rp700.000;Djakarta Store 12;Jakarta Pusat;N/A;1 terjual
[Bekas]PC Rakitan Gaming VGA Siap UNBK Kantor Full Game Murah Branded;Rp1.250.000;Process Graph;Jakarta Timur;4.8;23 terjual
PC Rakitan Gaming i5 3470 (GTX 1050Ti 4GB ) Cocok Editing Render;Rp1.325.000;GT Computer;Bandung;4.9;100+ terjual
PC Rakitan Core i5 Gen4 Ram 4Gb HDD 500Gb;Rp700.000;word com;Bekasi;N/A;N/A
PC Komputer Rakitan CPU Rakitan i5 Ram 8GB;Rp1.799.900;Inter Ponsell_NEW;Bogor;5.0;4 terjual
PC Komputer Rakitan AMD Ryzen 5 4600G 3.7Ghz For Gaming|Desain|Office;Rp4.054.050;JNC KOMPUTER;Jakarta Pusat;5.0;30+ terjual
PC rakitan intel i5 8Gb  (cocok untuk main game);Rp999.999;Leonardshop12;Kab. Malang;N/A;N/A
Pc Gaming Rakitan Mid end Kolpri + Bonus (spek sangar harga terbaik);Rp3.500.000;ALVATAR SHOP;Bekasi;N/A;N/A
pc rakitan;Rp1.850.000;Crisspy Chips & Sticks;Jakarta Barat;N/A;N/A
CPU | PC Rakitan Intel Core i5 - Ram 16GB - SSD 240GB | All New;Rp3.750.000;Liemz Store;Semarang;5.0;5 terjual
RAKITAN PC 5 JUTA;Rp5.199.000;RUMAH@CANTIK;Cirebon;N/A;N/A
Pc komputer Rakitan i5 4570 RAM 8/16GB SSD 128+HDD Casing Slim Desktop;Rp3.000.000;tokoALIshop;Jakarta Pusat;N/A;N/A
PC RAKITAN CORE i3 12100F GEN 12 RAM 16GB;Rp2.850.000;Racma9;Bandung;5.0;7 terjual
PC Rakitan Kencang | Ryzen 5600 + RTX 4060 | RAM 16GB SSD 512GB;Rp9.650.000;Berkanca;Kab. Sleman;N/A;N/A
PC Rakitan Gaming AMD Ryzen 5 5600G;Rp5.970.000;Victory Komputer_NEW;Semarang;5.0;4 terjual
PC GAMING RAKITAN;Rp4.000.000;tajudin zuhri;Kab. Gresik;N/A;N/A
pc rakitan pentium g 6400;Rp5.400.000;rise against gaming store;Malang;5.0;2 terjual
PC CORE I3 RAKITAN GAMING;Rp450.000;Rhevan Central Computindo;Tangerang Selatan;N/A;N/A
PC RAKITAN ZYREX|KOSONGAN| KONDISI TEST NORMAL| MULUS LIKE NEW| BERGARANSI| MURAH BANGET;Rp285.000;nikocomp;Bekasi;N/A;N/A
PC Rakitan Intel I5 12400F | RAM 16GB DDR5 | NVME 512GB | Siap Pakai;Rp8.557.000;JM Komputer Semarang;Semarang;N/A;N/A
