Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
ASUS ROG NUC 760 NUC14SRKU7 - Ultra 7 155H/16GB/512GB SSD/RTX 4060/Win11 Home - Gaming Mini PC;Rp28.399.000;JnJ Online;Jakarta Pusat;5.0;5 terjual
Gaming PC i5-12400 RTX 4060 RAM16GB Corsair RM650 650W;Rp10.700.000;toserba_soerabaja;Surabaya;N/A;N/A
PC RAKITAN GAMING INTEL I5 12400F VGA RTX 4060;Rp11.150.000;dhivakurniawan;Jakarta Selatan;5.0;100+ terjual
pc gaming core i7 12700f gen 12 ram 32gb vga rtx 4060 8gb ddr6;Rp5.350.000;Maheswari9;Bandung;N/A;N/A
Mini PC Gamer Intel i7 13800H i9 12900H i7-12700H NVIDIA RTX 4060 3050 8G Desktop Gaming Mini Computer PCIE4.0 WiFi6 Windows 11;Rp38.363.200;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
PC Rakitan Kencang | Ryzen 5600 + RTX 4060 | RAM 16GB SSD 512GB;Rp9.650.000;Berkanca;Kab. Sleman;N/A;N/A
Pc gaming i5 12400F/16gb/1Tb + 1Tb/rtx 4060 /monitor xiaomi 180hz;Rp13.850.000;ZONA COMPUTER;Jakarta Selatan;N/A;N/A
JM PC Gaming Assasin 12400F feat RTX 4060 all New;Rp9.825.000;G Komputer Semarang;Semarang;N/A;N/A
PC Gaming Intel Core i7 14700K | RTX 4060 8GB | DDR5 32GB | Siap Gaming editing & Live Stream;Rp12.155.000;GT Computer;Bandung;5.0;2 terjual
PC GAMING I5 14400F FEAT RTX 4060 ALL NEW ISA TUKAR TAMBAH;Rp12.825.000;G Komputer Semarang;Semarang;N/A;N/A
Pc gaming rtx 4060/4060ti ryzen;Rp10.500.000;Phoenix cm;Batam;N/A;N/A
Pc Murah pc Fullset pc gaming pc editing core i3 gen 10 vga gtx 1660 super no gtx 1650 super rtx 2060 rtx 3060 rtx 4060 rx 6600;Rp8.700.000;Rijupa Boutique;Tangerang;N/A;N/A
PC Gaming FULL SET - Core i5 12400F | RTX 4060 8GB | 16GB | NVMe | LED 24INCH;Rp12.846.600;NENET COMPUTER;Bandung;5.0;3 terjual
Minisforum Gaming Mini PC AMD Ryzen 9 7945HX 16 Core 32 Thread NVIDIA RTX 4060 8G 2*DDR5 Windows 11 Desktop Gamer Tower Computer;Rp51.514.000;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
PC Gaming Editing Streaming RTX 4060 DDR5 SSD 1 TB RAM 32 GB DDR5;Rp12.950.000;Komputer_2nd;Depok;N/A;N/A
PC Gaming Rendering Ryzen 5 7500F RTX 4060 Ram 32GB DDR5 Ssd 512GB Psu 650w Estetik;Rp16.685.000;Raki gaming;Denpasar;N/A;N/A
Gaming PC Ryzen 5 RTX 4060 16Gb Kit DDR4 RGB NVMe GTA PED FIFA PUBG Genshin Render Grafis;Rp9.500.000;Djogjaholic;Kab. Sleman;N/A;N/A
Render PC Ryzen 9 5900X 12 Core 24 CPU 32GB RAM RTX 4060 8GB DDR6 NVMe 512GB RGB Render Gaming Grafis Lumion Wukong;Rp16.500.000;Djogjaholic;Kab. Sleman;N/A;N/A
Rasen Komputer Custom Build 1  - Paket PC Rakitan HITAM AMD RYZEN 5 7500F RTX 4060 DDR5;Rp18.500.000;Rasen Komputer;Kab. Jember;N/A;N/A
"PC DELL Optiplex 7020 Tower Plus i9-14900K vPro 128GB 2TB SSD Nvidia RTX 4060 8GB Windows 11 Pro + Monitor Dell 24"" P2425H - 3 Years Warranty - Desktop Commercial Business Bisnis";Rp54.399.900;Onyx Technology;Jakarta Pusat;N/A;N/A
