Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
PC GAMING I5 12400F I 16GB I 256GB I 1TB I RX 6600 I XIGMATEK;Rp6.750.000;Birrul Gaming Pc 08;Kab. Bandung;5.0;1 terjual
Pc Gaming editing Core i5 10400f | 16gb | Rx 6600 8gb | 256gb nvm| 500;Rp6.998.800;Rakit PC 212;Tangerang;5.0;2 terjual
PC RAKITAN GAMING INTEL I5 12400F I 16GB RAM I 256GB NVME I RX 6600;Rp8.750.000;dhivakurniawan;Jakarta Selatan;5.0;12 terjual
PC Gaming AMD 5th Ryzen 5 5600GT | RX 6600 8GB DDR6 | 16GB | NVMe;Rp5.175.000;GT Computer;Bandung;5.0;3 terjual
PC Rakitan Gaming Ryzen 5 4500 ( RX 6600 8GB DDR6 ) Cocok Editing Render;Rp4.055.000;GT Computer;Bandung;5.0;3 terjual
Gaming PC Ryzen 5 3600 RX 6600 8GB DDR6 16GB DDR4 SSD Valorant GTA RGB;Rp6.650.000;Djogjaholic;Kab. Sleman;N/A;N/A
PC Rakitan Mid Spec AMD Ryzen 7 8000 Series Radeon RX 6600 8GB;Rp13.010.000;Hexacomputer;Surabaya;N/A;N/A
PC GAMING RYZEN 5 7500F + RX.6600;Rp12.000.000;TIGA SERIGALA TEKNOLOGI;Jakarta Utara;N/A;N/A
PC GAMING RYZEN 5 5600 I 16GB I Nvme 512Gb I RX 6600 8GB;Rp5.550.000;Birrul Gaming Pc 08;Kab. Bandung;5.0;1 terjual
Pc Murah pc Fullset pc gaming pc editing core i3 gen 10 vga gtx 1660 super no gtx 1650 super rtx 2060 rtx 3060 rtx 4060 rx 6600;Rp8.700.000;Rijupa Boutique;Tangerang;N/A;N/A
PC GAMING STREAMING Intel i5 Gen 12th With Radeon RX 6600 XT 8GB GDDR6;Rp12.900.000;allmueza;Tangerang;N/A;N/A
PC GAMING Intel Core i3 Gen 12th With Radeon RX 6600 XT 8GB GDDR6;Rp11.500.000;allmueza;Tangerang;N/A;N/A
PC Gaming Intel Core i3 13100F | RX 6600 8GB | RAM 16GB | NVMe;Rp7.945.000;Frontcomp;Bandung;5.0;2 terjual
PC Komputer Gaming Multimedia AMD Ryzen 9 5900X + Radeon RX 6600 CPU;Rp26.500.000;Foursquare Computer Bandung;Bandung;5.0;1 terjual
Pc Grafis Gaming Ryzen 5 5600  RX 6600 8Gb Ram 32Gb Nvme 512Gb;Rp7.985.000;Frontcomp;Bandung;N/A;N/A
Pc Rakitan i5 10400f | Rx 6600 Diatas rtx 2060 | 16gb | 256gb Nvme;Rp7.250.000;Rakit PC 212;Tangerang;N/A;N/A
PC Hackintosh Sonoma Ryzen 5 7600X - B650 - 16GB DDR5 - M.2 500GB - RX 6600;Rp13.999.000;win-group;Jakarta Selatan;N/A;N/A
DC Gaming Series PC | Intel I5 12400F | 16 GB | RX 6600 |  Rakitan Gaming PC | Dhafie Computer Ryzen PC;Rp8.340.000;dHafie Computer;Depok;N/A;N/A
RAKITAN PC RYZEN 5 7500F | | RX 6600 8GB | 32GB KIT DDR5 5600  | NVME 1TB | LG 24MR400 100HZ;Rp14.483.000;GX COMP;Bandung;4.0;1 terjual
PC Rakitan Core i3 12100f Radeon RX 6600 16GB DDR4 512GB SATA SSD Windows;Rp5.600.000;Miauw Retailer;Kab. Hulu Sungai Tengah;N/A;N/A
